"","cnsm_id","zip5","user_id","hhincome","dwelling","prkids","home_own_rent","marital_stat","online_dols","match_level","life_stage","age","educ"
"1","gy29865",10312,14467049,12,"S","Y","O","M","G","1","F",40,1
"2","yz33357",6883,381136,12,"S","Y","O","M","I","1","F",48,1
"3","ny28065",60714,13929236,4,"M","N","O","M","A","4","M",78,1
"4","jy41027",10001,18126476,6,"S","N","O","M","H","1","M",28,NA
"5","qy18256",11743,11738188,8,"S","Y","O","M","F","1","F",36,1
"6","yy45055",6830,19026703,NA,"","","","","","","M",NA,NA
"7","dy38388",8724,17466788,NA,"","","","","","","Y",NA,NA
"8","ey34667",2169,15352056,NA,"","","","","","","",NA,NA
"9","ey49130",10573,19709256,NA,"","","","","","","",NA,NA
"10","yx69422",11590,6098570,NA,"","","","","","","",NA,NA
"11","ky23615",6896,12789662,10,"S","Y","O","M","I","1","F",42,2
"12","wy35088",11542,15530362,9,"M","Y","O","S","","4","Y",40,3
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","wy25921",1610,13267288,12,"S","N","O","M","I","1","F",56,3
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","my17418",6853,11589170,NA,"S","","","","","3","M",70,NA
"18","ex81585",11432,7623696,NA,"","","","","","","Y",NA,NA
"19","ny18310",20874,11752936,6,"M","","O","M","H","2","Y",72,2
"20","ky41916",8901,18214260,NA,"M","","","","A","3","",NA,NA
"21","nx79629",11572,7320672,12,"S","Y","O","M","H","1","F",44,3
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","by34167",19130,15414476,1,"M","","R","S","A","1","Y",32,1
"24","py22682",11694,12126303,NA,"","","","","","","",NA,NA
"25","gy44487",7981,18921698,NA,"S","","O","M","D","1","M",32,3
"26","fy38505",19064,17510776,13,"S","N","O","M","F","1","M",38,2
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","xy45319",20815,19082196,12,"S","Y","O","M","D","1","Y",48,3
"29","py39670",22204,14785056,NA,"","","","","","","F",NA,NA
"30","dy26461",7071,13393072,6,"S","N","O","M","","2","F",88,1
"31","qy24320",11705,12900137,12,"S","Y","O","M","","1","M",46,3
"32","jy50845",60654,20125830,NA,"M","","","A","D","2","Y",28,1
"33","ay39210",6907,17705503,12,"S","N","O","S","C","1","Y",38,1
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","wy23355",6855,12556756,NA,"","","","","","","",NA,NA
"37","tx81263",1810,7574970,NA,"","","","","","","",NA,NA
"38","qy27046",2138,13561370,8,"S","Y","O","A","B","3","Y",38,NA
"39","ay26403",20710,10826962,NA,"","","","","","","F",NA,NA
"40","ey30955",1778,14564849,NA,"S","","O","","I","1","",42,NA
"41","uy32246",19104,14814760,8,"M","Y","O","M","A","3","Y",48,2
"42","ay47726",22041,19459803,NA,"","","","B","","3","M",72,1
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","yy43577",2135,18738836,NA,"","","","","","","F",NA,NA
"46","vy37456",21228,17249172,NA,"","","","","","","F",NA,NA
"47","oy35758",6877,15728370,12,"S","Y","O","M","E","1","M",34,2
"48","yy44905",20748,18966936,NA,"","","","","","","F",NA,NA
"49","dy16962",60012,11427488,8,"S","Y","O","S","","3","Y",38,1
"50","kx82564",10709,7741770,NA,"","","","","","","",NA,NA
"51","ey24831",11743,12996572,8,"S","N","O","M","","3","Y",56,NA
"52","jx46085",6002,3439776,5,"S","N","O","M","H","1","M",62,2
"53","sy24837",7932,13005998,NA,"","","","","","","",NA,NA
"54","jx95258",7064,10504770,NA,"","","","","","","",NA,NA
"55","fx97092",20008,10847756,NA,"","","","","","","",NA,NA
"56","cy18250",20165,11735003,NA,"S","","O","","G","1","F",30,NA
"57","ay34390",6492,15455898,NA,"","","","","","","",NA,NA
"58","fy29456",10075,14177060,NA,"","","","","","","Y",NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ay35062",2114,15587003,NA,"","","","","","","",NA,NA
"61","ny43520",1830,18565136,NA,"M","","","","","4","Y",46,3
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","zy50342",60647,19980796,NA,"","","","","","","Y",NA,NA
"65","xy50131",2111,19927262,7,"S","N","O","M","H","1","Y",24,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","py24796",6492,12990496,NA,"","","","","","","M",NA,NA
"68","fy23735",6450,12806198,11,"S","Y","O","M","F","1","F",74,3
"69","ay40251",20018,17952576,NA,"","","","","","","M",NA,NA
"70","ny43056",20723,18619088,NA,"","","","","","","F",NA,NA
"71","qx89097",8854,8665360,8,"S","Y","O","A","C","1","F",36,3
"72","ty35141",1810,13542448,11,"S","Y","O","A","F","1","F",46,3
"73","wy34385",11764,15457498,NA,"","","","","","","",NA,NA
"74","py27463",20005,13714356,NA,"","","","","","","Y",NA,NA
"75","yy34138",7093,15379237,NA,"","","","","","","F",NA,NA
"76","ly34941",2163,15564360,NA,"M","","","","E","1","Y",NA,NA
"77","ax68497",2878,5996830,8,"S","N","O","M","H","1","F",54,1
"78","by30951",2453,14726337,5,"M","","","S","","3","Y",NA,NA
"79","yx89393",10594,8699348,12,"S","Y","O","M","H","3","F",80,1
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","zy35343",10309,15639672,NA,"","","","","","","",NA,NA
"83","fy30071",11554,14537088,NA,"","","","","","","M",NA,NA
"84","vy25696",1568,13200388,6,"S","N","O","M","E","1","Y",50,4
"85","tx66700",60622,5816860,NA,"","","","","","","Y",NA,NA
"86","oy35072",20005,15517349,12,"S","Y","O","M","F","1","F",24,1
"87","sx89297",1845,8685398,7,"S","Y","O","M","H","1","M",34,1
"88","qy27555",6798,13735937,NA,"","","","","","","",NA,NA
"89","by37356",19040,16000448,NA,"S","","","B","B","1","F",64,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","hy48032",2139,19504848,8,"M","","O","S","B","1","Y",36,2
"93","oy40608",21237,18045637,8,"S","Y","O","M","B","1","F",52,2
"94","py19807",20009,12065636,NA,"M","","","B","","3","F",32,1
"95","jy27371",6360,13099772,NA,"","","","","","","",NA,NA
"96","px94697",6074,10434372,7,"S","Y","O","M","","1","F",30,2
"97","ay23614",60618,12656272,11,"S","Y","O","S","","1","F",56,NA
